"table_name"
"store_summary_view_new"
"x"
"view_1"
"sales_by_store_type"
"store_sales"
"store_sales_view"
"dim_customer"
"store_summary_view2"
"store_facts"
"view_2"
"country_region"
"sales_by_store_type1"
"total_sales_sales"
"dim_date"
"dim_product"
"total_sales"
"forview"
"dim_store"
"orders"
"sales_view"
"store_summary"
"store_summary_view"
"forquerying2"
"sales_by_store_type_summary"
